PeakF	MaxF	MinF	StartF	EndF	Inflec	PRR	Sound	Dur	BW	RangeF	TrendF
75.4	106.8	53.3	106.8	61.2	0	0	GR	0.278	53.5	2.003752345	1.745098039
70	94.6	50.4	94.6	56.7	0	0	GR	0.316	44.2	1.876984127	1.668430335
689.1	909.3	144.7	144.7	909.3	2	0	TR	0.555	764.6	6.284035936	0.159133399
613.7	1183	135.3	135.3	1183	2	0	TR	0.735	1047.7	8.74353289	0.114370245
678.3	1179.9	107	107	1179.9	2	0	TR	0.697	1072.9	11.0271028	0.090685651
253	1179.2	146.8	146.8	1179.2	2	0	TR	0.758	1032.4	8.032697548	0.12449118
985.1	1125.8	173.5	173.5	1125.8	2	0	TR	0.699	952.3	6.488760807	0.154112631
656.8	1183.6	182.4	182.4	1183.6	2	0	GR	0.862	1001.2	6.489035088	0.154106117
1055.1	1415	930	930	1273	1	0	NSH	0.51	485	1.521505376	0.730557738
737.5	1192.5	275.9	275.9	1192.5	2	0	TR	0.582	916.6	4.322218195	0.231362683
963.6	1521.8	858.8	1072	858.8	1	0	NSH	1.313	663	1.772007452	1.248253377
253	983.4	155.7	155.7	983.4	2	0	TR	0.692	827.7	6.315992293	0.158328249
985.1	1641.9	903.3	903.3	961	1	0	NSH	1.757	738.6	1.817668549	0.939958377
360.7	1067.9	213.6	213.6	1067.9	2	0	TR	0.654	854.3	4.999531835	0.200018728
1060.5	1606.3	845.4	1246	845.4	1	0	NSH	1.482	760.9	1.900047315	1.473858529
473.7	578.5	427.2	525	521	14	0	SI	3.442	151.3	1.354166667	1.007677543
457.6	480.6	413.8	455	453	4	0	MSI	0.686	66.8	1.161430643	1.004415011
1157.4	1205.1	956.5	1048	956.5	1	0	NSH	1.11	248.6	1.259905907	1.095661265
613.7	770.9	443.6	736	443.6	1	0	DC	1.136	327.3	1.737826871	1.65915239
683.7	931.3	185.6	185.6	931.3	2	0	TR	0.718	745.7	5.017780172	0.199291313
925.9	1252.3	802.3	912	802.3	2	0	NSH	1.855	450	1.560887449	1.136731896
619.1	673.3	409	673.3	409	1	0	DC	1.372	264.3	1.646210269	1.646210269
1001.3	1066.6	349.3	349.3	1066.6	2	0	TR	0.679	717.3	3.053535643	0.327489218
1006.7	1170.5	808.6	878	808.6	1	0	NSH	1.306	361.9	1.44756369	1.085827356
662.1	770.9	418.5	770.9	418.5	3	0	DC	1.828	352.4	1.842054958	1.842054958
974.4	1429.8	850.8	850.8	952	1	0	NSH	0.953	579	1.680535966	0.893697479
963.6	981.7	601	736	601	4	0	NSH	1.156	380.7	1.63344426	1.224625624
349.9	383.9	223.4	223.4	308	1	0	AM	1.594	160.5	1.718442256	0.725324675
646	1010	569.5	1010	569.5	1	0	SSH	0.588	440.5	1.773485514	1.773485514
672.9	739.4	468.8	569.5	468.8	1	0	NSH	1.045	270.6	1.57721843	1.214803754
360.7	396.4	220.2	220.2	311	1	0	AM	1.632	176.2	1.800181653	0.708038585
646	717.4	459.4	717.4	459.4	0	0	SSH	0.385	258	1.56160209	1.56160209
500.6	830.7	427.9	830.7	427.9	2	0	NSH	1.012	402.8	1.941341435	1.941341435
312.2	393.3	236	236	343	1	0	AM	1.796	157.3	1.666525424	0.688046647
1146.6	1170.5	695.4	695.4	1010	1	0	SSH	0.621	475.1	1.683203911	0.688514851
339.1	393.3	166.8	166.8	242	1	0	AM	1.495	226.5	2.357913669	0.689256198
134.6	210.8	103.8	210.8	210.8	1	0	VI	0.601	107	2.030828516	1
161.5	205.8	103.8	205.8	155	2	0	VI	0.699	102	1.98265896	1.327741935
113	165.8	35.6	35.6	165.8	1	0	LBA	3.396	130.2	4.657303371	0.214716526
118.4	198	43.4	43.4	198	1	0	BA	2.251	154.6	4.562211982	0.219191919
285.3	293.7	170.2	255	263	2	0	MM	1.202	123.5	1.725616921	0.969581749
355.3	540.1	297.6	343	540.1	0	0	WO	0.183	242.5	1.814852151	0.63506758
349.9	537.8	308.6	354	537.8	0	0	WO	0.176	229.2	1.742709008	0.658237263
393	545.1	232.6	232.6	545.1	0	0	BLW	4.839	312.5	2.343508169	0.426710695
75.4	87.9	59	59	87.9	0	0	CRK	0.568	28.9	1.489830508	0.671217292
75.4	85	54.3	54.3	85	0	0	CRK	0.644	30.7	1.565377532	0.638823529
70	80.2	52.7	52.7	80.2	1	0	CRK	0.738	27.5	1.521821632	0.657107232
64.6	79.4	51.1	51.1	79.4	0	0	CRK	0.477	28.3	1.553816047	0.643576826
188.4	222.5	82.3	222.5	222.5	0	0	TRR	1.763	140.2	2.703523694	1
269.2	730	75.5	75.5	730	0	0	WO	0.332	654.5	9.668874172	0.103424658
